feature,ks_stat_test,p_value_test,drift_test,ks_stat_val,p_value_val,drift_val
returns,0.10856886496186631,3.7180870162237268e-06,True,0.11754149842978914,3.827199153555403e-07,True
log_returns,0.10856886496186631,3.7180870162237268e-06,True,0.11754149842978914,3.827199153555403e-07,True
returns_5d,0.09466128308658592,8.809684193022773e-05,True,0.15118887393449978,1.4928100600429174e-11,True
returns_10d,0.10767160161507403,4.62083555739192e-06,True,0.17990130103185284,3.3404795770471315e-16,True
returns_20d,0.10497981157469717,8.773855705058593e-06,True,0.1825930910722297,1.1107343145509225e-16,True
sma_10,0.9008524001794527,2.67e-322,True,1.0,0.0,True
sma_20,0.895468820098699,2.9e-322,True,1.0,0.0,True
sma_50,0.8838043965903993,3.4e-322,True,1.0,0.0,True
price_to_sma10,0.11036339165545088,2.3941433888130605e-06,True,0.16913414087034545,2.3121807741458064e-14,True
price_to_sma20,0.11350381336922387,1.0889414728318172e-06,True,0.21534320323014805,4.389233273729801e-23,True
price_to_sma50,0.13458950201884254,3.0810975760339837e-09,True,0.2687303723642889,7.122198567587093e-36,True
volatility_10,0.360699865410498,5.419493395255714e-65,True,0.30865859129654555,2.1673814419976323e-47,True
volatility_20,0.3898609241812472,3.512694605515387e-76,True,0.31179901301031854,2.2792942473365082e-48,True
volatility_50,0.35935397039030953,1.686628540368083e-64,True,0.4266487213997308,1.0519209390936006e-91,True
bb_upper,0.8977119784656796,2.8e-322,True,1.0,0.0,True
bb_lower,0.9039928218932256,2.5e-322,True,1.0,0.0,True
bb_position,0.04845222072678331,0.14373804993012906,False,0.120233288470166,1.8673938597093649e-07,True
atr_14,0.8838043965903993,3.4e-322,True,1.0,0.0,True
volume_sma_10,0.11978465679676985,2.107032726059551e-07,True,0.2243158366980709,4.989834510569277e-25,True
volume_sma_20,0.13683266038582323,1.555360331376061e-09,True,0.2288021534320323,4.955199305433762e-26,True
volume_ratio,0.09959623149394348,3.0119447262985035e-05,True,0.11395244504262,9.712627212300867e-07,True
obv,0.9919246298788694,0.0,True,1.0,0.0,True
rsi_14,0.024674742036787798,0.8824726708421267,False,0.12920592193808883,1.5168674866323994e-08,True
macd,0.4396590399282189,1.3961356932832062e-97,True,0.7137729923732615,6.164721621350047e-277,True
macd_signal,0.4692687303723643,9.820177219959317e-112,True,0.7079407806191117,8.648480808386885e-272,True
macd_diff,0.3310901749663526,1.3010407711704646e-54,True,0.477792732166891,5.16687274254198e-116,True
roc_10,0.10767160161507403,4.62083555739192e-06,True,0.17990130103185284,3.3404795770471315e-16,True
